,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
28930,28930,city scrape,Apartamento Barata Ribeiro  Copa,2020-10-01,,within a day,55%,43%,f,Copacabana,5.0,5.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,$190.00,2,365,2,2,365,365,t,12,34,54,221,1,1,0,2024-10-21,2024-10-21,5.0,5.0,3.0,5.0,5.0,5.0,4.0,f,5,5,0,0,0.43
28931,28931,city scrape,Praia Ipanema 1 minuto caminhando 2 quarto garagem,2021-06-20,,within a few hours,99%,87%,f,Ipanema,24.0,26.0,t,,Ipanema,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,"$2,314.00",3,90,3,3,90,90,t,7,20,39,129,25,25,1,2024-04-24,2024-12-02,4.92,4.92,4.88,4.88,4.92,5.0,4.92,f,24,24,0,0,3.01
28933,28933,city scrape,Alugo quarto em Copacabana,2020-10-11,"State of Rio de Janeiro, Brazil",within an hour,90%,67%,f,Copacabana,4.0,5.0,t,,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,1.0,$971.00,1,365,1,1,365,365,t,27,57,87,267,1,1,0,2024-11-20,2024-11-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,0,4,0,0.77
28934,28934,city scrape,Alugo quarto em  Copacabana,2020-10-11,"State of Rio de Janeiro, Brazil",within an hour,90%,67%,f,Copacabana,4.0,5.0,t,,Copacabana,Private room in rental unit,Private room,2,0.5,1.0,1.0,$640.00,2,365,2,2,365,365,t,27,57,87,266,0,0,0,,,,,,,,,,f,4,0,4,0,
28937,28937,city scrape,CrownCasa|Beach 300m|Quiet|NTFLX,2022-05-11,"Hamburg, Germany",within an hour,100%,93%,,Copacabana,13.0,13.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire serviced apartment,Entire home/apt,3,1.0,1.0,1.0,$926.00,1,365,1,7,1125,1125,t,0,0,0,1,18,18,1,2024-04-08,2024-12-02,4.5,4.67,4.56,4.33,4.94,4.67,4.39,f,2,2,0,0,2.04
28938,28938,city scrape,Apartamento Gago Coutinho 54,2024-04-01,"Rio de Janeiro, Brazil",a few days or more,0%,29%,f,Catete,1.0,1.0,t,,Laranjeiras,Entire rental unit,Entire home/apt,5,2.0,2.0,1.0,$220.00,1,365,2,2,365,365,t,0,0,1,173,3,3,0,2024-05-18,2024-09-16,5.0,5.0,4.67,4.67,5.0,5.0,5.0,f,1,1,0,0,0.4
28940,28940,city scrape,Quarto individual Copacabana,2023-02-23,,a few days or more,49%,27%,f,Copacabana,2.0,3.0,t,,Copacabana,Private room in rental unit,Private room,1,0.5,1.0,1.0,$180.00,1,365,1,1,365,365,t,18,48,70,245,3,3,0,2024-04-20,2024-06-16,5.0,5.0,4.0,5.0,5.0,5.0,4.67,f,2,1,1,0,0.36
28942,28942,city scrape,Alugo apartamento aconchegante!,2024-01-13,,a few days or more,10%,20%,f,Recreio dos Bandeirantes,1.0,1.0,t,,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$200.00,2,365,2,2,365,365,t,25,55,85,360,0,0,0,,,,,,,,,,f,1,1,0,0,
28943,28943,city scrape,Apartamento  Lapa/Centro-RJ  Rua Sen. Dantas n.°80,2021-02-13,"Santos, Brazil",within a few hours,100%,100%,f,Centro,3.0,4.0,t,,Centro,Entire loft,Entire home/apt,3,1.0,1.0,4.0,"$1,071.00",1,90,1,4,1125,1125,t,23,32,32,32,0,0,0,,,,,,,,,,t,2,2,0,0,
28944,28944,city scrape,Aconchegante Apartamento Leme/Copacabana,2022-12-27,"Rio de Janeiro, Brazil",within an hour,100%,85%,t,Leme,1.0,1.0,f,,Leme,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,$800.00,2,60,2,6,60,60,t,11,41,71,71,13,13,2,2024-05-05,2024-12-15,5.0,5.0,4.92,4.92,4.69,4.77,4.69,f,1,1,0,0,1.64
