,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6073,6073,city scrape,Next Flats- Praia da Barra Apt Moderno Vista Mar,2016-04-02,"São Paulo, Brazil",within a day,67%,0%,f,,1.0,1.0,f,"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Entire condo,Entire home/apt,4,1.0,1.0,1.0,"$1,686.00",4,60,4,4,60,60,t,16,44,74,164,10,0,0,2018-01-09,2020-02-05,4.6,4.9,4.2,4.9,4.9,5.0,4.6,f,1,1,0,0,0.12
6091,6091,city scrape,"Apartamento Aconchegante, no Flamengo, perto metrô",2017-08-20,"Curitiba, Brazil",within a day,70%,82%,f,Flamengo,2.0,2.0,t,,Flamengo,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$853.00,4,60,2,2,1125,1125,t,2,28,53,53,15,3,0,2017-09-26,2024-11-17,4.73,4.87,4.8,4.73,4.6,5.0,4.47,f,1,1,0,0,0.17
6106,6106,city scrape,"RockInRio,Farmasi Arena,Barra Olímpica- Quarto p 2",2017-09-07,"Rio de Janeiro, Brazil",within a day,67%,100%,f,,1.0,1.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Jacarepaguá,Private room in condo,Private room,2,1.0,1.0,2.0,$400.00,1,15,1,1,15,15,t,25,55,85,360,14,2,0,2017-09-17,2024-09-16,5.0,5.0,5.0,5.0,5.0,5.0,4.86,f,1,0,1,0,0.16
6124,6124,city scrape,LAPA Maravilha. Apartamento na Lapa.,2017-09-09,"Rio de Janeiro, Brazil",within a day,100%,,f,Lapa,1.0,1.0,t,,Centro,Entire condo,Entire home/apt,2,1.0,1.0,4.0,$943.00,3,25,3,3,25,25,t,25,55,85,85,94,1,0,2017-09-21,2024-02-12,4.84,4.85,4.69,4.95,4.95,4.83,4.79,t,1,1,0,0,1.06
6125,6125,city scrape,Apartamento rock in rio,2016-09-05,"Rio de Janeiro, Brazil",within a day,86%,0%,f,Jacarepaguá,1.0,2.0,f,,Jacarepaguá,Private room in rental unit,Private room,4,3.0,3.0,3.0,$600.00,1,365,1,1,365,365,t,25,55,85,360,4,1,0,2022-11-14,2024-01-02,4.25,4.0,4.0,4.75,4.5,4.5,4.25,f,1,0,1,0,0.15
6145,6145,city scrape,Espetacular apartamento na Barra da tijuca,2016-08-10,"Rio de Janeiro, Brazil",within a day,60%,100%,f,,1.0,1.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Entire condo,Entire home/apt,6,2.0,2.0,3.0,$871.00,2,1125,2,2,1125,1125,t,26,56,80,80,21,4,0,2018-01-03,2024-09-22,4.81,4.81,4.86,4.9,4.76,4.95,4.67,t,1,1,0,0,0.25
6148,6148,city scrape,"Charming  flat in Rio de Janeiro , Leblon",2010-09-20,"Rio de Janeiro, Brazil",within a day,70%,0%,f,Leblon,6.0,8.0,t,"Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,"$1,943.00",1,4,1,1,4,4,t,27,57,83,173,64,0,0,2017-09-17,2023-03-14,4.5,4.66,4.44,4.73,4.77,4.98,4.56,f,6,6,0,0,0.72
6156,6156,city scrape,"Apto na barra com a melhor vista, praia a pé",2014-06-06,"Rio de Janeiro, Brazil",within a day,67%,20%,f,Barra da Tijuca,1.0,3.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Entire condo,Entire home/apt,4,2.0,2.0,2.0,"$3,057.00",4,365,1,20,365,365,t,23,53,83,358,3,0,0,2017-09-25,2021-07-17,5.0,5.0,5.0,5.0,5.0,4.67,4.67,f,1,1,0,0,0.03
6166,6166,city scrape,Barra charm - beleza e amplitude,2015-10-27,"Rio de Janeiro, Brazil",within a day,57%,10%,f,Barra da Tijuca,160.0,196.0,t,"Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,5,3.0,2.0,7.0,$480.00,1,1125,1,1,1125,1125,t,30,60,90,365,3,0,0,2019-09-29,2020-01-01,4.67,4.33,4.67,4.67,4.67,5.0,4.33,f,154,154,0,0,0.05
6172,6172,city scrape,Apartamento aconchegante no Flamengo,2016-01-14,"Rio de Janeiro, Brazil",within a day,100%,77%,t,Flamengo,1.0,1.0,t,,Flamengo,Entire rental unit,Entire home/apt,4,1.5,1.0,1.0,$200.00,2,1125,2,2,1125,1125,t,16,42,52,142,69,6,0,2017-10-02,2024-08-18,4.96,4.93,4.96,4.94,4.97,4.93,4.78,f,1,1,0,0,0.78
6173,6173,city scrape,Copacabana Apto,2017-09-20,"Beckum, Germany",within a day,100%,,f,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,4,1.0,2.0,2.0,"$1,000.00",5,365,5,5,365,365,t,0,0,9,9,40,0,0,2019-01-11,2020-03-29,4.9,5.0,4.98,4.98,4.95,4.88,4.8,f,1,1,0,0,0.55
6180,6180,city scrape,Apt charmoso a uma quadra da praia do Leblon,2016-10-06,"Rio de Janeiro, Brazil",within a day,83%,40%,f,Leblon,1.0,1.0,f,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,2,2.0,1.0,1.0,$914.00,4,1125,4,4,1125,1125,t,23,53,77,167,5,1,0,2019-03-05,2024-02-13,5.0,5.0,4.8,5.0,5.0,5.0,5.0,f,1,1,0,0,0.07
6185,6185,city scrape,BARRA DOLCE VITA RESIDENCE APT 1504,2013-10-17,"Rio de Janeiro, Brazil",within a day,90%,100%,f,Barra da Tijuca,4.0,5.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Entire rental unit,Entire home/apt,9,3.5,3.0,7.0,"$1,400.00",3,1125,15,15,1125,1125,t,18,48,69,344,7,0,0,2020-11-18,2023-09-10,4.86,5.0,5.0,5.0,5.0,5.0,5.0,t,2,2,0,0,0.14
6186,6186,city scrape,Quadra da Praia do Leblon,2015-04-04,"Rio de Janeiro, Brazil",within a day,100%,17%,f,,1.0,3.0,t,"Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,"$1,500.00",4,1125,1,4,1125,1125,t,24,54,84,359,5,1,0,2018-02-14,2024-01-03,5.0,5.0,4.8,5.0,5.0,5.0,4.6,f,1,1,0,0,0.06
6191,6191,city scrape,Excellent apartment in Flamengo/Rio de Janeiro,2016-06-16,"Juiz de Fora, Brazil",within a day,100%,,f,,1.0,1.0,t,"Flamengo, Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,$736.00,5,10,5,5,10,10,t,4,4,4,4,4,0,0,2018-02-14,2020-01-03,4.75,4.75,4.75,4.75,4.75,5.0,4.5,f,1,1,0,0,0.05
6257,6257,city scrape,Apart Flamengo - Local arborizado e tranquilo,2015-12-18,"Rio de Janeiro, Brazil",within a day,82%,11%,f,Flamengo,1.0,2.0,t,"Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,"$1,000.00",3,1125,3,3,1125,1125,t,0,0,22,297,7,0,0,2018-02-13,2023-08-05,5.0,5.0,4.86,5.0,5.0,5.0,4.86,f,1,1,0,0,0.08
6270,6270,city scrape,Cobertura com área externa  a 2 quadras da praia,2014-09-21,"Rio de Janeiro, Brazil",within a day,50%,65%,f,Copacabana,2.0,2.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,$843.00,3,90,2,3,90,90,t,2,31,54,140,18,14,1,2018-01-05,2024-12-02,4.83,4.94,4.61,4.94,4.94,5.0,4.78,f,2,2,0,0,0.21
6280,6280,city scrape,Wonderful Rio de Janeiro Ipanema Lagoon,2013-01-11,"State of Rio de Janeiro, Brazil",within a day,80%,50%,f,Lagoa,2.0,2.0,t,"Rio de Janeiro, Brazil",Lagoa,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"$1,559.00",3,1125,3,5,1125,1125,t,30,60,90,365,10,1,0,2019-10-06,2024-02-14,4.6,4.6,4.7,4.9,4.7,4.9,4.7,f,2,1,1,0,0.16
6283,6283,city scrape,Copacabana uma Quadra da Praia com vista p/mar,2016-04-08,"Rio de Janeiro, Brazil",within a day,91%,17%,f,Copacabana,4.0,8.0,f,,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,3.0,$150.00,4,70,4,4,70,70,t,5,8,12,273,7,5,0,2023-11-22,2024-11-17,4.29,4.29,4.14,4.71,4.57,4.86,4.14,f,2,2,0,0,0.52
6290,6290,city scrape,Apartamento aconchegante no coração de Ipanema.,2017-09-20,"Rio de Janeiro, Brazil",within a day,80%,88%,t,,1.0,1.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,"$1,914.00",3,20,1,3,20,20,t,0,0,0,35,141,22,0,2017-11-27,2024-09-06,4.88,4.89,4.83,4.95,4.97,4.88,4.82,f,1,1,0,0,1.63
6299,6299,city scrape,Copacabana apartment,2017-11-23,"State of Rio de Janeiro, Brazil",within a day,80%,50%,f,,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,$721.00,5,1125,5,5,1125,1125,t,29,59,84,359,4,2,0,2022-09-14,2024-02-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.14
6307,6307,city scrape,Coberturinha da Barra/ILHA DA GIGOIA,2013-12-06,"Rio de Janeiro, Brazil",within a day,53%,29%,f,Barra da Tijuca,9.0,96.0,t,,Barra da Tijuca,Entire home,Entire home/apt,2,1.5,0.0,1.0,$200.00,7,360,7,7,360,360,t,7,14,31,285,0,0,0,,,,,,,,,,f,8,8,0,0,
6317,6317,city scrape,Loft dos Sonhos no Rio/ O Melhor da Glória,2013-11-23,"Rio de Janeiro, Brazil",within a day,100%,50%,f,Glória,1.0,4.0,t,"Glória, Rio de Janeiro, Brazil",Glória,Entire loft,Entire home/apt,2,1.0,1.0,1.0,$515.00,3,90,3,5,90,90,t,0,10,40,130,1,1,0,2024-11-10,2024-11-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.63
6320,6320,city scrape,Apto perto da praia de Copacabana.,2017-10-30,"São Jerônimo, Brazil",within a day,50%,0%,f,,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,$180.00,3,8,3,3,8,8,t,22,52,74,164,7,0,0,2019-01-03,2022-09-11,4.29,4.43,3.57,4.14,4.29,4.43,4.29,f,1,1,0,0,0.1
6321,6321,city scrape,"Copacabana, perto de tudo",2016-01-19,"Rio de Janeiro, Brazil",within a day,100%,0%,f,,1.0,4.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,$686.00,2,1125,2,2,1125,1125,t,0,0,0,175,2,0,0,2022-09-11,2022-09-16,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,1,1,0,0,0.07
6324,6324,city scrape,15 BEDS Parque Olímpico RioCentro Barra da Tijuca,2012-08-19,"Rio de Janeiro, Brazil",within a day,85%,49%,f,Recreio dos Bandeirantes,7.0,9.0,t,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",Jacarepaguá,Entire condo,Entire home/apt,8,1.0,2.0,10.0,$267.00,1,90,1,4,90,90,t,26,56,86,361,4,1,0,2019-03-18,2024-09-23,4.75,4.5,4.5,4.5,4.75,5.0,4.5,f,7,4,3,0,0.06
6326,6326,city scrape,Aluguel temporada -Rio centro Parque Olímpico,2017-11-27,"Rio de Janeiro, Brazil",within a day,70%,57%,f,,4.0,4.0,t,"Jacarepagua, Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,$550.00,2,360,1,1,1125,1125,t,23,53,83,173,17,2,0,2017-12-17,2024-09-22,4.82,4.76,4.76,4.82,4.88,4.65,4.82,t,4,4,0,0,0.2
6330,6330,previous scrape,Quarto Green para Casal,2016-01-13,"Rio de Janeiro, Brazil",within a day,67%,0%,f,Lapa,4.0,7.0,t,,Santa Teresa,Private room in rental unit,Private room,2,,,,,1,1125,1,1,1125,1125,t,0,0,22,297,0,0,0,,,,,,,,,,f,4,0,4,0,
6331,6331,previous scrape,"Casa com piscina na Taquara, Rio de Janeiro.",2017-11-11,"Rio de Janeiro, Brazil",within a day,100%,88%,t,,2.0,2.0,t,"Taquara, Rio de Janeiro, Brazil",Taquara,Entire home,Entire home/apt,14,,3.0,,,2,30,2,2,30,30,t,0,0,2,2,109,27,0,2017-12-29,2024-11-16,4.94,4.91,4.85,4.97,4.93,4.89,4.86,f,1,1,0,0,1.28
6336,6336,city scrape,Suíte privativa na Glória,2016-05-14,"Rio de Janeiro, Brazil",within a day,67%,50%,f,,2.0,3.0,t,,Glória,Private room in rental unit,Private room,2,1.5,1.0,1.0,$450.00,4,30,4,4,30,30,t,15,45,71,346,10,1,0,2019-01-06,2024-02-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0,2,0,0.14
6337,6337,city scrape,Apto Temporada  Riocentro Parque  Olímpico Barra,2017-11-27,"Rio de Janeiro, Brazil",within a day,70%,57%,f,,4.0,4.0,t,"Jacarepagua, Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,5,1.0,2.0,6.0,$550.00,3,360,3,3,1125,1125,t,23,53,83,358,8,1,0,2018-09-07,2024-05-11,4.63,4.38,4.63,4.88,4.63,4.63,4.5,t,4,4,0,0,0.1
6345,6345,city scrape,Recreio Reserva,2016-01-14,"Rio de Janeiro, Brazil",within a day,100%,,f,,1.0,1.0,t,"Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,"$1,186.00",2,30,2,2,1125,1125,t,24,54,84,359,17,1,0,2018-09-30,2024-01-04,4.94,5.0,5.0,5.0,4.94,5.0,4.88,t,1,1,0,0,0.22
6346,6346,city scrape,Fantástico Apartamento em Vila Copacabana 10,2017-12-01,"Rio de Janeiro, Brazil",within a day,70%,41%,f,Copacabana,2.0,5.0,t,,Copacabana,Entire condo,Entire home/apt,8,1.5,2.0,6.0,$479.00,3,1125,3,3,1125,1125,t,18,48,50,50,6,3,0,2018-02-04,2024-10-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.07
