,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
7213,7213,city scrape,Amplo apartamento com vista incrível,2017-07-27,"São Paulo, Brazil",within an hour,100%,100%,f,Santa Teresa,2.0,3.0,t,"Santa Teresa, Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,9,2.5,2.0,7.0,914.0,2,1125,2,2,1125,1125,t,23,50,74,340,57,10,1,2019-03-11,2024-12-15,4.67,4.53,4.33,4.72,4.81,4.75,4.53,f,1,1,0,0,0.81,155.38000000000002
7214,7214,city scrape,Riou008 Ipanema luxury 3 bdr beach block,2014-04-15,"Rio, Brazil",within a few hours,89%,71%,f,Leblon,35.0,47.0,t,,Ipanema,Entire rental unit,Entire home/apt,6,2.0,3.0,5.0,2730.0,4,280,4,8,280,280,t,17,39,60,95,19,2,0,2018-10-10,2024-02-07,4.58,4.63,4.84,4.79,4.58,4.95,4.37,f,33,33,0,0,0.25,464.1
7217,7217,city scrape,3Bdr only one block from beach,2012-07-16,"Montreal, Canada",within an hour,100%,87%,t,Leme,3.0,3.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,1329.0,6,1125,2,10,1125,1125,t,0,1,6,45,74,14,0,2018-10-29,2024-10-20,4.84,4.85,4.59,4.78,4.77,4.89,4.81,f,3,3,0,0,0.99,225.93
7220,7220,city scrape,Top location Ipanema - one block beach - Post 9,2018-05-16,"Brasília, Brazil",within an hour,100%,100%,f,Ipanema,1.0,1.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,1607.0,3,1125,3,6,1125,1125,t,5,9,30,34,72,11,1,2018-11-30,2024-12-26,4.92,4.9,4.9,4.88,5.0,5.0,4.88,t,1,1,0,0,0.97,273.19
7229,7229,city scrape,Copacabana Posto 6 para 5 pessoas Ar condicionado,2018-09-13,,within a few hours,100%,100%,f,Copacabana,1.0,3.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,535.0,3,88,1,3,88,88,t,23,52,73,77,64,4,0,2018-11-17,2024-02-21,4.67,4.83,4.63,4.89,4.81,4.89,4.7,f,1,1,0,0,0.86,90.95
7234,7234,city scrape,Mansão de luxo Temporada em Barra da Tijuca,2014-05-23,"Rio de Janeiro, Brazil",within a day,85%,54%,f,Barra da Tijuca,21.0,84.0,t,,Barra da Tijuca,Entire home,Entire home/apt,14,6.0,4.0,5.0,6170.0,1,1125,1,1,1125,1125,t,30,60,90,365,13,2,0,2018-11-11,2024-07-13,4.85,4.69,4.46,5.0,5.0,5.0,4.62,f,17,17,0,0,0.17,1048.9
7238,7238,city scrape,Copacabana com vista para o mar,2016-08-21,,within a day,71%,80%,f,Copacabana,1.0,2.0,f,,Copacabana,Entire rental unit,Entire home/apt,5,2.0,2.0,5.0,1200.0,2,1125,2,6,1125,1125,t,8,32,53,142,38,5,0,2019-01-01,2024-11-17,4.71,4.74,4.71,4.92,4.89,4.97,4.66,f,1,1,0,0,0.52,204.00000000000003
7242,7242,city scrape,Aconchego,2017-02-20,"Rio de Janeiro, Brazil",within an hour,100%,86%,t,Copacabana,2.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,2.0,2.0,7.0,1173.0,2,15,2,5,15,15,t,0,23,32,32,75,11,0,2018-11-18,2024-11-17,5.0,4.96,4.97,5.0,5.0,4.99,4.93,f,2,2,0,0,1.01,199.41000000000003
7246,7246,city scrape,"Apto confortável em Ipanema tipo ""casa de praia""!",2014-02-19,"Rio de Janeiro, Brazil",within a day,100%,100%,t,Ipanema,1.0,3.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,500.0,2,1125,2,2,1125,1125,t,0,0,1,228,0,0,0,,,,,,,,,,f,1,1,0,0,,85.0
7250,7250,city scrape,SALA E 2 QUARTOS POSTO 6,2018-03-07,"Rio de Janeiro, Brazil",within a few hours,100%,85%,t,Copacabana,4.0,4.0,t,,Copacabana,Entire rental unit,Entire home/apt,7,1.0,0.0,1.0,371.0,3,1125,3,7,1125,1125,t,4,23,36,205,125,32,4,2019-10-02,2024-12-21,4.77,4.8,4.74,4.98,4.95,4.95,4.77,f,4,4,0,0,1.96,63.07000000000001
7255,7255,previous scrape,Barra da Tijuca Apto Vista para o MAR,2018-10-18,,within a day,75%,40%,f,Barra da Tijuca,1.0,3.0,t,,Barra da Tijuca,Entire rental unit,Entire home/apt,6,,2.0,,,2,30,2,5,30,30,t,0,0,0,0,2,1,0,2019-02-11,2024-11-17,4.5,5.0,3.5,5.0,5.0,5.0,4.5,f,1,1,0,0,0.03,
7256,7256,city scrape,Apartamento na Praia da Barra,2015-10-16,,within an hour,89%,33%,f,Barra da Tijuca,1.0,4.0,t,,Barra da Tijuca,Entire rental unit,Entire home/apt,8,3.0,3.0,4.0,1200.0,2,1125,1,2,1125,1125,t,4,31,46,46,28,0,0,2019-02-24,2023-03-27,4.89,4.86,4.71,4.93,4.89,4.96,4.86,f,1,1,0,0,0.39,204.00000000000003
7258,7258,previous scrape,"Copacabana-apto amplo e silencioso, 5m praia, mata",2014-12-15,"Rio de Janeiro, Brazil",within an hour,100%,96%,f,Copacabana,5.0,7.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,7,,4.0,,,10,90,10,10,1125,1125,t,5,5,5,5,6,0,0,2019-01-07,2023-02-27,3.83,4.0,3.33,4.67,4.67,4.67,3.33,f,5,1,4,0,0.08,
7261,7261,city scrape,Confortável apê a 2 quadras da praia.,2018-10-19,"State of Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,1186.0,2,89,2,5,1125,1125,t,3,15,38,42,69,40,2,2019-01-15,2024-12-22,4.8,4.87,4.58,4.94,4.88,4.94,4.72,t,1,1,0,0,0.95,201.62
7264,7264,city scrape,Botafogo - 2 quartos (67m²) - Ar Condicionado,2018-09-19,"São Paulo, Brazil",within an hour,100%,97%,t,Botafogo,1.0,2.0,f,"Botafogo, Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,824.0,4,1125,4,4,1125,1125,t,5,12,23,278,99,19,0,2018-09-30,2024-11-20,4.98,4.99,4.95,4.99,5.0,4.97,4.89,f,1,1,0,0,1.3,140.08
7266,7266,city scrape,COPACABANA COBERTURA DE FRENTE PARA PRAIA/5QUARTOS,2017-02-06,"Rio de Janeiro, Brazil",within a few hours,100%,50%,f,Leme,18.0,25.0,t,"Leme, Rio de Janeiro, Brazil",Leme,Entire rental unit,Entire home/apt,12,6.0,5.0,5.0,4895.0,3,15,3,5,15,15,t,5,5,5,17,1,0,0,2021-07-16,2021-07-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,4,0,0,0.02,832.1500000000001
7269,7269,city scrape,Colorful Art-Inspired Retro Chic Apartment,2016-09-25,"Armação dos Búzios, Brazil",within an hour,100%,97%,t,Copacabana,3.0,3.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,6,2.0,3.0,4.0,3375.0,2,730,2,8,730,730,t,14,14,34,285,224,36,2,2018-11-18,2024-12-18,4.98,4.99,4.98,4.98,5.0,4.98,4.95,f,1,1,0,0,3.01,573.75
7291,7291,city scrape,Conforto e tranquilidade em Copacabana,2018-10-22,,within an hour,100%,100%,t,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,6,3.0,3.0,5.0,1971.0,3,31,1,4,31,31,t,5,12,14,14,162,29,1,2019-01-02,2024-12-18,4.86,4.88,4.56,4.95,4.94,4.96,4.83,f,1,1,0,0,2.22,335.07000000000005
7298,7298,city scrape,Charm Beach Leblon in Rio,2018-09-25,"Rio de Janeiro, Brazil",,,100%,f,Leblon,2.0,2.0,f,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,545.0,1,60,1,1,60,60,t,0,0,0,0,13,0,0,2018-12-12,2021-04-17,4.85,4.85,4.85,4.92,5.0,5.0,4.77,f,2,2,0,0,0.18,92.65
7301,7301,city scrape,Copacabana a uma quadra da praia - 3 quartos,2016-06-13,"Rio de Janeiro, Brazil",within a few hours,100%,96%,t,,2.0,2.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.5,2.0,3.0,1200.0,3,30,3,3,30,30,t,0,0,18,108,0,0,0,,,,,,,,,,f,2,2,0,0,,204.00000000000003
7304,7304,city scrape,Great House - Gávea,2014-02-04,"Rio de Janeiro, Brazil",,,,f,Gávea,1.0,2.0,f,"Gávea, Rio de Janeiro, Brazil",Gávea,Entire home,Entire home/apt,8,5.0,4.0,5.0,5000.0,4,30,4,4,30,30,t,23,53,83,83,0,0,0,,,,,,,,,,f,1,1,0,0,,850.0000000000001
7308,7308,city scrape,Elegant Copacabana Apartment,2018-10-26,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,4.0,5.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,9,2.5,3.0,8.0,3006.0,3,730,3,3,1125,1125,t,5,22,43,215,242,44,2,2018-11-26,2024-12-20,4.98,4.95,4.97,4.99,4.98,4.93,4.91,t,4,4,0,0,3.26,511.02000000000004
7310,7310,city scrape,2 practical bedrooms at Ipanema,2016-08-24,"Rio de Janeiro, Brazil",within a few hours,97%,40%,f,Ipanema,201.0,609.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,1690.0,3,1125,3,5,1125,1125,t,0,1,22,22,0,0,0,,,,,,,,,,f,153,149,4,0,,287.3
7312,7312,city scrape,Santa Clara Clareô: espaçoso 3 qts em Copacabana,2012-05-31,"Rio de Janeiro, Brazil",within an hour,100%,93%,f,Tijuca,76.0,83.0,f,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,7,2.0,3.0,4.0,761.0,1,369,1,6,369,369,t,5,28,49,141,129,26,2,2018-11-09,2024-12-08,4.83,4.9,4.88,4.85,4.9,4.9,4.86,f,63,61,2,0,1.73,129.37
7316,7316,city scrape,"Excelente Apto início de ipanema c ar, perto metrô",2015-12-03,"Rio de Janeiro, Brazil",within an hour,100%,57%,f,Copacabana,29.0,76.0,f,,Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,8.0,1580.0,3,90,3,3,90,90,t,29,59,85,360,2,0,0,2019-01-01,2019-03-10,3.5,3.0,3.0,5.0,5.0,5.0,3.0,f,26,25,1,0,0.03,268.6
7317,7317,previous scrape,"Apartamento em ipanema 3quartos, suite, ar.",2015-12-03,"Rio de Janeiro, Brazil",within an hour,100%,57%,f,Copacabana,29.0,76.0,f,,Ipanema,Entire rental unit,Entire home/apt,6,,3.0,,,5,1125,5,5,1125,1125,t,30,60,90,365,1,0,0,2019-10-06,2019-10-06,2.0,5.0,3.0,5.0,5.0,5.0,2.0,t,26,25,1,0,0.02,
7319,7319,city scrape,Rio038 - Luxurious sea front apartment in Copacabana,2014-10-21,"New York, NY",within a few hours,93%,47%,t,Joá,252.0,589.0,t,,Copacabana,Entire rental unit,Entire home/apt,6,4.0,3.0,4.0,25459.0,3,90,3,5,90,90,t,29,59,89,356,0,0,0,,,,,,,,,,f,40,40,0,0,,4328.030000000001
7321,7321,city scrape,Studios Combination at Ipanema,2016-08-24,"Rio de Janeiro, Brazil",within a few hours,97%,40%,f,Ipanema,201.0,609.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,8,2.0,2.0,3.0,2190.0,3,1125,3,5,1125,1125,t,0,0,19,109,0,0,0,,,,,,,,,,f,153,149,4,0,,372.3
7323,7323,city scrape,Magnífico 250 metros da Praia  amplo/confortável,2014-04-23,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,1573.0,2,1125,3,3,1125,1125,t,6,19,42,314,48,13,2,2019-01-29,2024-12-12,4.96,5.0,4.94,5.0,5.0,4.98,4.85,t,1,1,0,0,0.67,267.41
7325,7325,previous scrape,2 Flats same building in beginning of Leblon,2016-08-24,"Rio de Janeiro, Brazil",within a few hours,97%,40%,f,Ipanema,201.0,609.0,t,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,10,,4.0,,,3,1125,3,3,1125,1125,t,0,1,2,2,1,0,0,2018-11-20,2018-11-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,153,149,4,0,0.01,
7327,7327,city scrape,Amazing duplex penthouse with jacuzzi and sea view,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,9,3.0,4.0,5.0,21787.0,2,90,2,2,90,90,t,4,10,15,200,56,17,0,2019-01-20,2024-10-18,4.79,4.93,4.84,4.93,4.91,4.89,4.79,t,84,84,0,0,0.77,3703.7900000000004
7328,7328,city scrape,Modern 3 bedrooms with sea view in Posto 6,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,3.0,3.0,4.0,15989.0,2,90,2,2,90,90,t,0,9,32,253,41,4,0,2020-01-05,2024-06-19,4.83,4.9,4.85,4.88,4.8,4.93,4.8,t,84,84,0,0,0.68,2718.13
7329,7329,city scrape,Design Apartment in the trend quarter Ipanema,2018-07-22,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,,2.0,2.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,1886.0,3,45,2,3,1125,1125,t,0,4,22,293,149,22,2,2020-02-27,2024-12-17,4.89,4.93,4.79,4.77,4.85,4.93,4.84,t,1,1,0,0,2.53,320.62
7331,7331,city scrape,Beutiful duplex penthouse with pool and terrace,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,7661.0,2,90,2,2,90,90,t,4,19,49,287,24,3,0,2019-08-04,2024-11-15,4.58,4.79,4.83,4.71,4.75,4.88,4.63,t,84,84,0,0,0.36,1302.3700000000001
7332,7332,city scrape,2 bedroom duplex penthouse with terrace and pool,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,9207.0,2,90,2,2,90,90,t,6,23,48,297,61,12,1,2018-11-24,2024-12-21,4.74,4.79,4.92,4.85,4.87,4.92,4.51,t,84,84,0,0,0.82,1565.19
7333,7333,city scrape,Beautiful penthouse with jacuzzi and terrace,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,18449.0,2,90,2,2,90,90,t,1,9,39,300,64,5,1,2019-05-20,2024-12-10,4.83,4.89,4.78,4.91,4.88,4.83,4.7,t,84,84,0,0,0.94,3136.3300000000004
7334,7334,city scrape,Amazing penthouse with jacuzzi & frontal sea view,2016-05-28,"Rio de Janeiro, Brazil",within an hour,99%,100%,t,Copacabana,86.0,88.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,24598.0,2,90,2,2,90,90,t,1,7,26,249,33,6,0,2020-07-26,2024-10-16,4.91,4.91,4.91,4.97,4.91,5.0,4.79,t,84,84,0,0,0.61,4181.66
7337,7337,city scrape,Pertinho de Ipanema e Arpoador. Amazing flat.,2014-12-17,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Pinheiros,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,1329.0,3,360,2,3,1125,1125,t,19,49,79,83,118,7,0,2018-11-04,2024-11-17,4.82,4.84,4.8,4.89,4.91,4.92,4.69,f,1,1,0,0,1.58,225.93
7341,7341,previous scrape,Ano novo aos pés do Cristo Redentor,2016-05-21,"Rio de Janeiro, Brazil",within an hour,100%,72%,f,Humaitá,2.0,2.0,t,,Humaitá,Entire rental unit,Entire home/apt,5,,3.0,,,5,7,4,5,7,7,t,0,0,0,0,0,0,0,,,,,,,,,,f,2,2,0,0,,
7342,7342,city scrape,Copanema: 3 quartos c/ garagem em frente ao metrô.,2012-05-31,"Rio de Janeiro, Brazil",within an hour,100%,93%,f,Tijuca,76.0,83.0,f,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,8,3.5,3.0,4.0,933.0,1,369,1,6,369,369,t,7,29,51,143,170,32,3,2018-11-07,2024-12-19,4.76,4.83,4.72,4.71,4.84,4.89,4.71,f,63,61,2,0,2.27,158.61
7344,7344,city scrape,"apto 2 dormitorios, excelente laser",2015-04-25,"Ramos Mejía, Argentina",,,,f,Barra da Tijuca,1.0,1.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Entire condo,Entire home/apt,5,2.0,2.0,4.0,1011.0,4,1125,4,4,1125,1125,t,30,60,90,365,0,0,0,,,,,,,,,,f,1,1,0,0,,171.87
7347,7347,previous scrape,Big room city center for group,2013-02-03,Brazil,within a few hours,100%,100%,f,Santa Teresa,4.0,5.0,f,"Centro, Rio de Janeiro, Brazil",Santa Teresa,Private room in home,Private room,6,,,,,2,1125,2,2,1125,1125,t,28,58,88,363,6,1,0,2019-01-03,2024-02-14,4.17,4.5,4.33,4.67,4.5,4.33,3.83,t,4,0,4,0,0.08,
7348,7348,city scrape,"Ipanema, maravilhoso, coladinho a praia + charmosa",2016-08-14,"Rio de Janeiro, Brazil",within an hour,100%,85%,t,Copacabana,5.0,6.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,8,2.5,4.0,10.0,6029.0,5,180,1,5,180,180,t,15,35,60,325,53,11,0,2019-02-23,2024-11-18,4.83,4.87,4.66,4.96,4.89,4.98,4.92,f,5,5,0,0,0.74,1024.93
7349,7349,city scrape,Nice apartament in Rio de janeiro,2015-08-10,"Rio de Janeiro, Brazil",a few days or more,0%,0%,f,,2.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,1.5,2.0,2.0,2011.0,3,1125,1,3,1125,1125,t,7,7,7,7,3,2,0,2019-01-01,2024-02-14,4.33,4.33,4.67,5.0,4.67,5.0,4.33,f,2,1,1,0,0.04,341.87
7357,7357,city scrape,"NOVO só 50 mt da Praia, 3 qtos 2 suites e 3 banhei",2021-12-15,"Rio de Janeiro, Brazil",within a few hours,70%,94%,f,Recreio dos Bandeirantes,3.0,4.0,t,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,12,3.0,3.0,10.0,1204.0,3,45,3,6,1125,1125,t,8,34,54,141,123,18,1,2019-01-01,2024-12-09,4.78,4.89,4.72,4.86,4.88,4.77,4.76,f,2,2,0,0,1.69,204.68
7361,7361,city scrape,The Best of Ipanema Beach 2,2016-01-11,"Miami, FL",within a few hours,100%,100%,f,Ipanema,2.0,6.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,2.5,3.0,5.0,2815.0,3,1125,3,3,1125,1125,t,6,27,46,226,53,2,1,2019-01-25,2024-12-04,4.89,4.91,4.81,5.0,4.91,4.96,4.79,f,2,2,0,0,0.73,478.55
7362,7362,city scrape,"Casa de Canal 20 pessoas , Barra da Tijuca",2013-12-23,"Rio de Janeiro, Brazil",within a few hours,100%,86%,t,,3.0,7.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire home,Entire home/apt,16,5.5,4.0,25.0,6429.0,2,60,1,2,60,60,t,23,45,69,340,14,2,1,2019-04-03,2024-11-29,5.0,5.0,4.93,4.86,5.0,4.86,4.86,f,3,3,0,0,0.2,1092.93
7367,7367,previous scrape,Sublim view to the beach and Forte de Copacabana,2016-08-24,"Rio de Janeiro, Brazil",within a few hours,97%,40%,f,Ipanema,201.0,609.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,,3.0,,,5,1125,5,5,1125,1125,t,0,0,0,0,2,0,0,2018-12-21,2019-01-01,4.5,4.5,4.5,4.5,4.5,5.0,4.5,f,153,149,4,0,0.03,
7368,7368,city scrape,Apt 2Q 2WC na Praia c/ WiFi e Garagem,2018-09-18,"Rio de Janeiro, Brazil",,,,f,Ipanema,1.0,1.0,t,"Copacabana, Ri, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,2.0,2.0,6.0,400.0,4,1125,2,3,1125,1125,t,0,0,0,0,6,0,0,2023-02-22,2023-07-24,4.83,5.0,5.0,5.0,5.0,4.83,5.0,f,1,1,0,0,0.27,68.0
7370,7370,city scrape,Copacabana princesinha do mar,2015-05-30,"Niterói, Brazil",within a few hours,95%,81%,f,Copacabana,3.0,9.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,2.0,3.0,6.0,1481.0,3,120,3,5,120,120,t,6,36,66,204,124,30,1,2019-01-15,2024-12-08,4.85,4.87,4.87,4.88,4.85,4.97,4.82,f,2,2,0,0,1.71,251.77
7378,7378,city scrape,Casa Estilo Chalé,2018-11-05,,,,,f,Recreio dos Bandeirantes,1.0,1.0,f,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Entire chalet,Entire home/apt,5,2.0,1.0,2.0,158.0,3,60,3,3,60,60,t,0,0,0,0,1,0,0,2019-01-07,2019-01-07,5.0,5.0,5.0,5.0,5.0,4.0,5.0,f,1,1,0,0,0.01,26.860000000000003
7385,7385,city scrape,TOP - Copacabana  - 4 Quartos - 50 m da praia,2018-11-25,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,3.0,4.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,10,3.0,4.0,6.0,1750.0,5,90,3,5,90,90,t,7,27,50,66,138,19,1,2019-01-03,2024-12-05,4.75,4.81,4.69,4.99,4.98,4.96,4.78,f,2,2,0,0,1.89,297.5
7396,7396,city scrape,Ocean View Deluxe Copacabana,2014-02-03,"Rio de Janeiro, Brazil",within an hour,95%,100%,f,Ipanema,2.0,4.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,3.0,3.0,4.0,4489.0,3,60,3,7,1125,1125,t,0,0,0,0,179,33,1,2018-12-31,2024-12-13,4.97,4.99,4.96,4.94,4.97,4.97,4.89,f,1,1,0,0,2.45,763.1300000000001
7399,7399,previous scrape,Copacabana,2018-11-07,"Rio de Janeiro, Brazil",within a day,100%,40%,f,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,,2.0,,,6,1125,1,5,1125,1125,t,2,2,2,2,10,1,0,2019-01-01,2024-01-03,4.9,5.0,5.0,5.0,4.9,4.9,5.0,f,1,1,0,0,0.14,
7402,7402,city scrape,"Apto coração Ipanema,  vaga garagem, porteiro 24h",2018-11-26,"State of Rio de Janeiro, Brazil",within a few hours,100%,20%,f,Ipanema,2.0,2.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,3.0,4.0,4.0,3500.0,5,30,5,5,30,30,t,23,53,77,257,10,0,0,2019-01-01,2023-11-18,5.0,4.9,4.9,4.9,4.9,4.9,4.4,f,1,1,0,0,0.14,595.0
7406,7406,city scrape,"Ap. Barra daTijuca, 2 suítes,sala/cozinha completa",2018-11-27,"Rio de Janeiro, Brazil",,,,f,,3.0,4.0,t,"Barra da Tijuca, Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,1157.0,2,90,2,2,90,90,t,10,40,66,237,26,3,0,2019-01-03,2024-09-15,4.73,4.77,4.69,4.58,4.69,4.81,4.58,f,3,1,2,0,0.36,196.69000000000003
7418,7418,city scrape,Apt familiar 2 quartos em cachambi!  6 pessoas,2018-07-21,"Rio de Janeiro, Brazil",,,,f,,1.0,1.0,f,"Cachambi, Rio de Janeiro, Brazil",Cachambi,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,800.0,1,30,1,3,30,30,t,25,55,82,82,3,0,0,2020-02-28,2023-02-22,4.67,4.67,4.33,5.0,5.0,3.67,4.0,f,1,1,0,0,0.05,136.0
7419,7419,city scrape,Praia de Botafogo espetacular: venha se hospedar!,2012-08-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Botafogo,3.0,4.0,t,"Botafogo, Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,5,1.0,0.0,2.0,1000.0,2,35,2,5,35,35,t,3,23,31,285,261,50,4,2018-12-02,2024-12-23,4.93,4.96,4.91,4.99,4.98,4.95,4.9,f,3,3,0,0,3.53,170.0
7424,7424,city scrape,"Apto Leblon bem localizado, 3 quartos com garagem.",2018-01-17,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Passagem,2.0,3.0,t,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,3000.0,2,60,2,6,60,60,t,15,37,67,71,45,27,2,2023-02-20,2024-12-09,4.93,4.96,4.93,5.0,5.0,4.96,4.91,f,1,1,0,0,1.99,510.00000000000006
7426,7426,city scrape,Apt 2 quartos no coração de Copacabana (Wi-Fi),2017-08-07,"Foz do Iguaçu, Brazil",within an hour,71%,100%,f,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,7,2.0,2.0,2.0,835.0,3,1125,2,10,1125,1125,t,10,22,36,191,193,33,1,2019-01-01,2024-12-02,4.63,4.74,4.16,4.93,4.95,4.98,4.73,t,1,1,0,0,2.65,141.95000000000002
