,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
9570,9570,city scrape,Maravilhoso Studio novíssimo Copacabana/Ipanema,2013-04-17,"Rio de Janeiro, Brazil",within an hour,100%,96%,f,Ipanema,11.0,14.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire loft,Entire home/apt,2,1.0,1.0,1.0,1293.0,2,730,2,5,1125,1125,t,4,9,21,80,9,1,0,2020-01-05,2024-06-11,4.89,4.89,5.0,5.0,5.0,4.78,4.44,t,8,8,0,0,0.15,219.81
9573,9573,previous scrape,Room in Copacabana 250m BEACH and 200m Subway,2024-07-30,"Rio de Janeiro, Brazil",,,,f,,2.0,2.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Private room in condo,Private room,2,,,,,2,365,2,5,1125,1125,t,0,0,0,0,12,8,1,2020-01-01,2024-12-11,4.5,4.75,4.5,4.92,5.0,5.0,4.58,t,2,0,2,0,0.2,
9576,9576,city scrape,Apart-hotel em Ipanema esquina com a Lagoa!!!,2019-06-25,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,13.0,14.0,t,"Rio de janeiro , Rio de Janeiro, Brazil",Lagoa,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1127.0,3,1125,3,5,1125,1125,t,0,0,20,55,33,7,0,2019-12-31,2024-09-23,4.7,4.76,4.48,4.97,5.0,4.97,4.61,t,6,6,0,0,0.54,191.59
9577,9577,city scrape,Spectacular two-bedroom apartment with a suite in,2013-02-26,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Ipanema,9.0,26.0,t,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,6,3.0,2.0,4.0,3321.0,2,90,2,5,90,1125,t,18,48,73,200,49,18,1,2020-01-05,2024-11-28,4.88,4.9,4.84,4.92,4.92,4.9,4.69,t,8,8,0,0,0.81,564.57
9587,9587,previous scrape,ROCK IN RIO! Copacabana 200 M da praia/100M metro,2019-09-06,"Rio de Janeiro, Brazil",within an hour,100%,95%,f,Copacabana,62.0,81.0,t,,Copacabana,Entire rental unit,Entire home/apt,3,,,,,2,89,2,2,1125,1125,t,0,0,0,0,10,2,0,2020-02-16,2024-09-24,4.6,4.9,4.6,4.7,4.7,5.0,4.9,t,17,17,0,0,0.17,
9588,9588,previous scrape,"Copacabana , excelente localização",2019-09-06,"Rio de Janeiro, Brazil",within an hour,100%,95%,f,Copacabana,62.0,81.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,,,,,28,1125,28,28,1125,1125,t,0,0,0,0,11,0,0,2020-01-15,2022-03-08,4.27,4.73,4.27,5.0,5.0,4.82,4.36,t,17,17,0,0,0.18,
9590,9590,previous scrape,Flat Praia de Copacabana,2014-03-29,Brazil,a few days or more,42%,97%,f,Copacabana,19.0,46.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,,,,,5,60,5,5,1125,1125,t,0,0,0,0,1,0,0,2023-02-22,2023-02-22,5.0,5.0,5.0,5.0,3.0,5.0,5.0,t,17,17,0,0,0.04,
9609,9609,city scrape,Apt sea view a few steps from the beach,2014-03-26,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,52.0,74.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,452.0,1,90,1,3,90,1125,t,7,20,38,161,35,7,0,2020-10-12,2024-11-04,4.91,4.83,4.97,4.94,4.91,4.94,4.86,t,52,51,0,0,0.68,76.84
9614,9614,city scrape,Ipanema 2suites fully climatized 50m from beach,2013-12-03,,within an hour,100%,99%,f,Copacabana,25.0,53.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,899.0,1,90,1,6,90,1125,t,2,7,10,20,178,68,6,2021-02-13,2024-12-22,4.77,4.81,4.69,4.75,4.65,4.95,4.77,t,22,22,0,0,3.77,152.83
9615,9615,city scrape,Conjugado reformado/reformed studio - Flamengo,2019-12-28,"Rio de Janeiro, Brazil",within an hour,88%,96%,t,Flamengo,2.0,2.0,t,"Flamengo, Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,511.0,1,3,1,2,1125,1125,t,3,3,3,3,15,3,0,2020-02-24,2024-07-23,4.8,5.0,4.8,4.93,4.8,5.0,4.6,t,2,2,0,0,0.25,86.87
9616,9616,previous scrape,Luxury Ocean Top Copacabana,2015-06-24,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,6.0,6.0,t,,Copacabana,Entire loft,Entire home/apt,2,,,,,3,1125,2,4,1125,1125,t,1,6,6,6,176,39,3,2020-01-06,2024-12-21,4.81,4.84,4.72,4.94,4.9,4.95,4.81,t,5,5,0,0,2.9,
9618,9618,city scrape,702 Studio Copacabana Praia,2014-03-29,Brazil,a few days or more,42%,97%,f,Copacabana,19.0,46.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,1.0,580.0,5,30,5,5,30,30,t,15,42,60,60,3,0,0,2022-01-16,2023-01-22,4.67,4.33,4.67,5.0,5.0,5.0,4.33,t,17,17,0,0,0.08,98.60000000000001
9620,9620,city scrape,Suíte Real defronte Marina da Glória,2018-03-03,Brazil,within an hour,98%,99%,t,Glória,2.0,2.0,t,"Glória, Rio de Janeiro, Brazil",Glória,Private room in rental unit,Private room,2,1.0,1.0,2.0,191.0,1,1125,1,1,1125,1125,t,5,18,36,278,354,61,5,2020-01-01,2024-12-16,4.92,4.91,4.72,4.94,4.95,4.87,4.89,t,2,0,2,0,5.83,32.47
9623,9623,city scrape,"Quarto bem localizado, melhor custo benefício",2019-04-05,,,,,f,,1.0,1.0,t,"Rio de Janeiro, Brazil",Rio Comprido,Private room in condo,Private room,2,1.0,1.0,2.0,150.0,5,1125,5,5,1125,1125,t,29,59,89,364,0,0,0,,,,,,,,,,t,1,0,1,0,,25.500000000000004
9628,9628,city scrape,Lindo Studio em Copacabana Prox. Metro e da Praia,2013-01-07,"Rio de Janeiro, Brazil",within an hour,96%,100%,f,Copacabana,13.0,18.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,908.0,2,90,2,5,90,1125,t,4,19,39,227,125,8,0,2019-12-23,2024-09-30,4.73,4.82,4.7,4.95,4.82,4.89,4.66,t,13,13,0,0,2.05,154.36
9631,9631,city scrape,"Next to Statue of Christ, Tijuca Forest & Stadium.",2015-06-20,"Porto Seguro, Brazil",,,,f,,2.0,7.0,t,"Rio de Janeiro, Brazil",Tijuca,Private room in condo,Private room,2,2.5,4.0,1.0,337.0,4,10,4,4,1125,1125,t,0,30,60,335,1,0,0,2020-02-27,2020-02-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,0,1,0,0.02,57.290000000000006
9638,9638,city scrape,Copacabana ponto nobre.,2016-04-13,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,683.0,3,60,1,3,1125,1125,t,7,29,29,29,91,23,2,2020-01-12,2024-12-11,4.95,4.96,4.9,5.0,5.0,4.98,4.89,t,1,1,0,0,1.51,116.11000000000001
9645,9645,city scrape,Os melhores pontos turísticos do RJ caminhando.,2019-12-29,,within an hour,86%,100%,t,Lapa,1.0,1.0,t,"Centro, Rio de Janeiro, Brazil",Centro,Entire rental unit,Entire home/apt,5,2.0,2.0,5.0,480.0,5,30,5,5,1125,1125,t,27,57,83,83,31,5,0,2020-10-12,2024-09-16,4.87,4.65,4.87,4.97,4.84,4.9,4.77,t,1,1,0,0,0.6,81.60000000000001
9648,9648,city scrape,Apart  AP Barra.MiniQto p 1.wi fi. 1carro,2013-04-08,"Rio de Janeiro, Brazil",within an hour,100%,96%,t,Recreio dos Bandeirantes,7.0,8.0,t,"Rio de Janeiro , Rio de Janeiro, Brazil",Barra da Tijuca,Private room,Private room,1,1.0,1.0,1.0,306.0,1,90,1,1,90,90,t,27,57,87,362,43,13,1,2022-02-28,2024-12-01,4.86,4.79,4.79,4.98,5.0,4.93,4.84,t,7,4,3,0,1.25,52.02
9663,9663,city scrape,Estiloso STUDIO em Botafogo. Próximo a TUDO.,2016-09-15,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Botafogo,1.0,1.0,t,"Botafogo, Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,4,1.0,0.0,1.0,318.0,2,1125,2,2,1125,1125,t,7,21,33,38,246,62,7,2020-01-02,2024-12-23,4.79,4.77,4.72,4.93,4.93,4.9,4.71,t,1,1,0,0,4.05,54.06
9665,9665,city scrape,Apartamento posto 6 Copacabana!,2018-05-28,"Petrópolis, Brazil",within an hour,100%,100%,t,Ipanema,15.0,17.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,970.0,6,365,6,6,365,365,t,6,8,13,272,8,8,1,2024-07-30,2024-12-09,5.0,5.0,5.0,4.88,5.0,5.0,4.75,t,9,6,3,0,1.58,164.9
9668,9668,city scrape,Club verdant,2017-10-07,"Rio de Mouro, Portugal",within an hour,100%,50%,f,Jacarepaguá,3.0,6.0,t,"Jacarepaguá, Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,707.0,3,1125,3,3,1125,1125,t,30,60,90,180,2,0,0,2020-01-17,2020-02-24,4.5,4.5,5.0,5.0,5.0,4.5,4.5,t,3,2,1,0,0.03,120.19000000000001
9669,9669,city scrape,Penthouse Suite with Jacuzzy and Panoramic Balcony,2014-10-15,"Rio de Janeiro, Brazil",within a day,100%,97%,f,Santa Teresa,5.0,7.0,t,"Cosme Velho, Rio de Janeiro, Brazil",Cosme Velho,Entire guesthouse,Entire home/apt,4,1.0,1.0,4.0,1114.0,1,365,1,5,1125,1125,t,23,53,55,55,28,2,0,2020-03-02,2024-03-03,4.86,4.82,4.54,4.93,4.89,4.89,4.5,t,5,3,2,0,0.48,189.38000000000002
9673,9673,previous scrape,Suíte no Flamengo pertinho do metrô!,2020-01-14,"Rio de Janeiro, Brazil",within an hour,100%,87%,t,Flamengo,5.0,5.0,t,"Flamengo, Rio de Janeiro, Brazil",Flamengo,Private room in rental unit,Private room,2,,,,,3,30,3,3,1125,1125,t,0,0,0,0,7,1,0,2020-02-06,2024-02-13,4.71,4.57,4.57,5.0,5.0,5.0,4.86,t,4,0,4,0,0.12,
9689,9689,city scrape,"Bairro maravilhoso, 2 quadras do metro. Apto Lindo",2014-08-25,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Urca,2.0,2.0,t,"Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,799.0,3,1125,3,5,1125,1125,t,3,7,29,161,96,27,1,2021-01-05,2024-12-10,4.89,4.91,4.72,4.97,4.96,4.97,4.9,t,2,2,0,0,1.98,135.83
9691,9691,city scrape,Um lugar tranquilo,2019-12-28,"Rio de Janeiro, Brazil",within an hour,100%,92%,f,Copacabana,3.0,3.0,t,,Copacabana,Private room in earthen home,Private room,1,2.0,1.0,3.0,400.0,3,1125,3,3,1125,1125,t,26,56,82,357,7,5,0,2023-06-10,2024-11-17,4.29,4.43,4.29,4.57,4.43,4.71,4.29,t,2,0,2,0,0.37,68.0
9692,9692,city scrape,RIOCOPACABANA,2014-07-27,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,7.0,10.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,4.0,553.0,3,30,3,5,30,1125,t,6,18,40,90,7,2,0,2022-03-02,2024-09-17,4.86,4.71,4.86,4.71,4.86,5.0,5.0,t,3,3,0,0,0.2,94.01
9694,9694,city scrape,Your Seaside Retreat on Ipanema Beach,2020-01-01,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,1.0,3.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1457.0,3,1125,1,5,1125,1125,t,0,6,19,83,114,43,2,2020-02-17,2024-12-05,4.93,4.91,4.94,5.0,4.99,4.97,4.84,t,1,1,0,0,1.93,247.69000000000003
9696,9696,city scrape,suite independente como banheiro privado,2018-04-11,"State of Rio de Janeiro, Brazil",within a few hours,100%,100%,f,Cidade Nova,8.0,9.0,t,"Bonsucesso, Rio de Janeiro, Brazil",Bonsucesso,Private room,Private room,2,1.0,1.0,1.0,200.0,2,1125,2,2,1125,1125,t,28,58,88,363,6,1,0,2021-05-24,2024-01-01,3.67,3.33,4.0,4.5,4.17,4.17,4.0,t,2,0,2,0,0.14,34.0
9711,9711,city scrape,"VISTA FRONTAL TOTAL, 3QTS. AMZN SEA VIEW, 3BDR.",2015-06-05,"State of Rio de Janeiro, Brazil",within an hour,100%,98%,t,Copacabana,4.0,5.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,2.5,3.0,6.0,4010.0,4,1125,4,7,1125,1125,t,4,24,39,106,125,24,0,2020-01-31,2024-11-11,4.89,4.93,4.83,4.98,4.93,4.96,4.77,t,3,3,0,0,2.09,681.7
9720,9720,city scrape,Que delícia de lugar - Casa RP,2018-11-13,"Angra dos Reis, Brazil",within an hour,100%,95%,f,Vila do Abraão,7.0,7.0,t,"Jacarepaguá, Rio de Janeiro, Brazil",Jacarepaguá,Entire condo,Entire home/apt,3,1.0,1.0,2.0,188.0,2,1125,2,2,1125,1125,t,24,29,29,29,12,1,0,2020-02-25,2024-09-16,4.83,4.67,4.92,5.0,4.83,4.42,4.83,t,2,2,0,0,0.2,31.96
9726,9726,previous scrape,Férias/Cond.FECHADO BARRA SEG24H/5minPRAIA,2019-08-21,"Rio de Janeiro, Brazil",within a day,100%,70%,t,Castelo,3.0,3.0,t,"Rio de Janeiro , Rio de Janeiro, Brazil",Barra da Tijuca,Entire condo,Entire home/apt,7,,2.0,,,3,1125,3,3,1125,1125,t,0,0,0,0,4,0,0,2020-02-17,2022-11-14,5.0,5.0,4.75,5.0,5.0,5.0,4.5,t,2,2,0,0,0.07,
9729,9729,city scrape,"Studio 300 m PRAIA Copacabana, 1,5 km do Leme",2014-05-20,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,2.0,2.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,845.0,2,90,2,7,90,90,t,4,22,24,48,2,2,0,2024-07-30,2024-10-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.39,143.65
9759,9759,city scrape,Excelente localização Copacabana Ipanema,2018-10-10,"Rio de Janeiro, Brazil",within an hour,100%,93%,f,Jardim Martineli,13.0,15.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1174.0,1,1125,1,4,1125,1125,t,12,22,45,58,102,13,1,2020-01-12,2024-12-11,4.25,4.38,4.38,4.83,4.57,4.6,4.25,t,1,1,0,0,1.69,199.58
9763,9763,city scrape,"Apto 30 metros del mar , seguridad 24 horas",2020-01-06,"Miami, FL",,,100%,f,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1175.0,3,1125,1,3,1125,1125,t,2,20,43,94,3,1,0,2021-01-08,2024-09-23,5.0,5.0,4.67,5.0,5.0,5.0,5.0,t,1,1,0,0,0.06,199.75000000000003
9771,9771,city scrape,***Casa na Penha equipada e mobiliada. Perfeita!,2014-12-02,"Niterói, Brazil",within an hour,100%,100%,f,,6.0,6.0,t,"Rio de Janeiro, Brazil",Penha,Entire home,Entire home/apt,12,2.0,3.0,11.0,480.0,5,1125,2,2,1125,1125,t,10,10,10,36,15,2,0,2021-06-15,2024-02-28,4.8,4.73,4.8,4.8,4.87,4.6,4.67,t,1,1,0,0,0.35,81.60000000000001
9772,9772,city scrape,Modern Studio fully equipped in Copacabana,2015-04-06,"Rio de Janeiro, Brazil",within an hour,95%,94%,t,Copacabana,32.0,40.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,740.0,3,182,3,7,182,182,t,13,37,55,327,39,10,2,2020-02-25,2024-12-16,4.87,4.87,4.82,4.79,4.79,4.87,4.67,t,27,27,0,0,0.66,125.80000000000001
9777,9777,city scrape,Ótimo Studio próximo do Sambódromo!,2015-05-01,"State of Rio de Janeiro, Brazil",within an hour,100%,93%,f,Cidade Nova,5.0,6.0,t,"Cidade Nova, Rio de Janeiro, Brazil",Cidade Nova,Entire home,Entire home/apt,3,1.0,1.0,2.0,240.0,1,60,1,5,1125,1125,t,24,54,60,60,1,0,0,2022-09-11,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,3,2,1,0,0.04,40.800000000000004
9781,9781,previous scrape,Copacabana sol e mar,2017-04-25,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,2.0,3.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,,1.0,,,2,365,2,2,365,365,t,0,0,3,3,0,0,0,,,,,,,,,,t,2,2,0,0,,
9800,9800,city scrape,Leblon' s heart.,2016-01-25,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,2.0,3.0,t,"Leblon, Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,654.0,2,30,2,2,1125,1125,t,2,7,20,26,109,47,5,2020-01-27,2024-12-23,4.94,4.94,4.86,4.94,4.96,5.0,4.89,t,2,2,0,0,1.82,111.18
9802,9802,previous scrape,Posto 6 quadra da praia entre Copacabana e Ipanema,2019-09-06,"Rio de Janeiro, Brazil",within an hour,100%,95%,f,Copacabana,62.0,81.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,,,,,28,90,28,28,90,90,t,0,0,0,0,6,2,1,2020-02-03,2024-11-30,4.67,5.0,4.33,5.0,4.83,4.83,4.5,t,17,17,0,0,0.1,
9813,9813,city scrape,C4 Copacabana Estilo e conforto 1 quadra da Praia,2019-12-16,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,17.0,18.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire loft,Entire home/apt,4,1.0,1.0,2.0,894.0,1,1125,1,6,99,1125,t,11,24,32,277,155,11,1,2020-02-08,2024-12-22,4.92,4.96,4.87,4.97,5.0,4.98,4.82,t,17,17,0,0,2.6,151.98000000000002
9830,9830,city scrape,Vista Bondinho entre os bairros Flamengo/Botafogo,2015-11-07,"Rio de Janeiro, Brazil",within an hour,100%,99%,f,Bacaxá,4.0,6.0,t,"Flamengo, Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,757.0,4,29,2,4,1125,1125,t,1,28,54,54,21,4,0,2020-02-15,2024-06-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.35,128.69
9859,9859,city scrape,Apartamento conforto coracao de Copacabana,2016-08-02,"Rio de Janeiro, Brazil",within an hour,100%,100%,,Copacabana,4.0,4.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,1491.0,1,730,1,5,1125,1125,t,0,0,11,11,7,2,2,2020-02-23,2024-12-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.12,253.47000000000003
9870,9870,city scrape,Suite Solteiro Flat RioStay Riocentro_Stay'nRio 3,2014-10-07,"Rio de Janeiro, Brazil",within a few hours,97%,92%,t,,12.0,17.0,t,"Camorim, Rio de Janeiro, Brazil",Jacarepaguá,Private room in serviced apartment,Private room,2,1.0,1.0,1.0,623.0,2,1125,1,8,1125,1125,t,29,56,86,355,10,2,0,2020-12-19,2024-09-16,4.9,4.8,4.7,4.9,4.7,4.9,4.3,t,12,3,8,0,0.2,105.91000000000001
9879,9879,city scrape,Casa Duplex independente,2020-01-23,,a few days or more,10%,75%,f,Brás de Pina,10.0,11.0,t,"Brás de Pina, Rio de Janeiro, Brazil",Brás de Pina,Entire home,Entire home/apt,4,1.0,2.0,2.0,300.0,3,31,3,3,1125,1125,t,30,60,90,180,0,0,0,,,,,,,,,,t,10,8,2,0,,51.00000000000001
9911,9911,city scrape,"Loft Duplex I, próximo à Lapa, garagem opcional",2012-05-25,"Rio de Janeiro, Brazil",within an hour,100%,92%,f,Santa Teresa,8.0,9.0,t,"Centro, Rio de Janeiro, Brazil",Santa Teresa,Entire loft,Entire home/apt,2,1.0,1.0,1.0,503.0,6,90,3,6,1125,1125,t,7,10,40,130,24,8,1,2020-05-01,2024-12-21,4.5,4.5,4.79,4.88,4.83,4.25,4.42,t,6,6,0,0,0.42,85.51
9913,9913,city scrape,Copacabana Beach/Vista Mar/Loft Design&Arquitetura,2015-04-14,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,16.0,28.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1486.0,3,90,3,7,1125,1125,t,14,31,56,143,76,19,0,2020-02-21,2024-11-07,4.95,4.93,4.93,4.96,4.93,4.95,4.87,t,13,13,0,0,1.29,252.62
9919,9919,city scrape,Paquetá - Pérgola de Gaudi,2017-03-06,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,,1.0,1.0,t,"Paquetá, Rio de Janeiro, Brazil",Paquetá,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,379.0,1,1125,1,3,1125,1125,t,26,56,76,344,104,31,3,2020-02-26,2024-12-09,4.98,4.96,4.99,5.0,5.0,4.95,4.94,t,1,1,0,0,1.77,64.43
9922,9922,city scrape,APARTAMENTO EM FRENTE A PRAIA POSTO 9 DO RECREIO,2020-01-28,,within an hour,100%,75%,f,,1.0,1.0,t,,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,7,2.0,2.0,3.0,700.0,1,1125,1,1,1125,1125,t,19,49,50,50,51,3,0,2020-02-25,2024-09-15,4.75,4.8,4.51,4.86,4.92,4.98,4.61,t,1,1,0,0,0.87,119.00000000000001
9924,9924,city scrape,Ipanema Praia a pé perto de tudo Garagem  Metrô,2020-01-28,"Rio de Janeiro, Brazil",within an hour,100%,80%,,Copacabana,41.0,41.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,884.0,2,365,2,5,1125,1125,t,8,26,48,111,166,32,0,2020-02-22,2024-10-23,4.86,4.86,4.85,4.92,4.93,4.92,4.84,t,22,22,0,0,2.81,150.28
9928,9928,city scrape,Complete 1BDR 400m from the beach | SL 363/906,2013-04-19,"Rio de Janeiro, Brazil",within an hour,98%,99%,f,Vidigal,247.0,431.0,t,"Rio de Janeiro, Rj, Brazil",Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,353.0,2,90,2,5,90,90,t,0,29,41,315,72,15,1,2020-03-06,2024-12-18,4.72,4.83,4.76,4.89,4.92,4.9,4.63,t,241,241,0,0,1.23,60.010000000000005
9934,9934,city scrape,Studio Gávea | Unique Rio Experience feeling Home,2020-01-29,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,,1.0,2.0,t,"Gávea, Rio de Janeiro, Brazil",Gávea,Entire guesthouse,Entire home/apt,6,1.0,1.0,4.0,1306.0,2,730,2,5,1125,1125,t,22,52,71,251,33,5,0,2020-02-26,2024-10-14,4.88,4.76,4.97,4.97,4.88,4.97,4.64,t,1,1,0,0,0.56,222.02
9935,9935,city scrape,1BDR 220m from Copacabana Beach | RP 95/202,2013-04-19,"Rio de Janeiro, Brazil",within an hour,98%,99%,f,Vidigal,247.0,431.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,615.0,1,90,1,5,90,90,t,5,18,42,299,53,4,0,2020-02-09,2024-09-23,4.85,4.87,4.81,4.81,4.98,4.96,4.62,t,241,241,0,0,0.89,104.55000000000001
9936,9936,city scrape,"Copacabana! Esquina da Praia, pertinho de Ipanema",2019-10-05,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire loft,Entire home/apt,4,1.0,0.0,6.0,417.0,2,1125,2,2,1125,1125,t,1,8,25,283,112,35,3,2020-02-24,2024-12-16,4.88,4.89,4.85,5.0,4.96,4.98,4.93,t,1,1,0,0,1.9,70.89
9937,9937,city scrape,⭐Melhor ponto de Ipanema/Arpoador/Copacabana⭐,2020-01-29,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,,1.0,1.0,t,,Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,1543.0,4,27,4,5,1125,1125,t,2,20,40,45,84,20,2,2020-02-11,2024-12-24,4.92,4.94,4.89,4.96,4.93,4.87,4.89,t,1,1,0,0,1.41,262.31
9949,9949,city scrape,Studio Atlântica Copacabana,2019-02-03,,within an hour,100%,100%,f,Copacabana,3.0,3.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1457.0,2,1125,1,5,1125,1125,t,6,19,43,106,92,16,0,2020-10-12,2024-11-25,4.86,4.85,4.9,4.82,4.91,4.96,4.78,t,3,3,0,0,1.79,247.69000000000003
9956,9956,city scrape,"J. APÊ  STAY(RIO CENTRO, PQ OLÍMPICO, A. JEUNESSE)",2020-01-28,,within an hour,80%,100%,f,,1.0,3.0,t,"Camorim, Rio de Janeiro, Brazil",Camorim,Private room in guest suite,Private room,3,1.0,1.0,1.0,150.0,1,368,1,1,1125,1125,t,0,0,0,247,49,1,0,2020-02-02,2024-09-20,4.43,4.59,4.31,4.53,4.67,4.73,4.49,t,1,0,1,0,0.82,25.500000000000004
9970,9970,city scrape,"Room for homeoffice, near the beach, quiet street",2014-12-15,"Rio de Janeiro, Brazil",within an hour,100%,94%,t,Copacabana,16.0,17.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,2,1.0,1.0,1.0,800.0,3,120,3,5,1125,1125,t,1,3,20,20,97,32,2,2020-02-12,2024-12-15,4.95,4.89,4.91,4.97,4.97,4.98,4.84,t,9,5,4,0,1.63,136.0
9989,9989,city scrape,Quarto em Copacabana,2020-01-28,,a few days or more,0%,,f,,2.0,2.0,t,,Copacabana,Private room in rental unit,Private room,2,1.0,0.0,1.0,950.0,3,30,3,3,1125,1125,t,30,60,90,90,1,0,0,2020-02-25,2020-02-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,0,2,0,0.02,161.5
